friddjavuođareive	1. frihetsbrev;  
projeakta	1. projekt;  
dialeakta	1. dialekt;  
kolleakta	1. kollekt;  
idioleakta	1. idiolekt;  
kneakta	1. knekt;  
aspeakta	1. aspekt;  
respeakta	1. respekt;  
reakta	1. trakt;  
direakta	1. direkt;  
kreakta	1. rundbladet klokkeblom, campanula rotundifolia;  
alitkreakta	1. rundbladet blåklokke, campanula rotundifolia;  
inseakta	1. insekt;  
arkiteakta	1. arkitekt;  
veakta	1. vekt;  
prošeakta	1. prosjekt;  
ovdaprošeakta	1. ovdaprosjekt;  
terminologiijaprošeakta	1. terminologiprosjekt;  
giellaprošeakta	1. språkprosjekt;  
sosiálaprošeakta	1. sosialprosjekt;  
tearbmaprošeakta	1. termprosjekt;  
báikenammaprošeakta	1. stedsnavnprosjekt;  
oarjevuonaprošeakta	1. sørfjordsprosjekt;  
pilohtaprošeakta	1. pilotprosjekt;  
dearvvašvuođaprošeakta	1. helseprosjekt;  
nuoraidprošeakta	1. ungdomsprosjekt;  
girjeprošeakta	1. bokprosjekt;  
oasseprošeakta	1. delprosjekt;  
ovddidanprošeakta	1. utviklingsprosjekt;  
dutkanprošeakta	1. forskningsprosjekt;  
geahččalanprošeakta	1. prøveprosjekt;  
čállindárkkistanprošeakta	1. skriveferdighetsprosjekt;  
čohkkenprošeakta	1. samleprosjekt;  
registrerenprošeakta	1. registreringsprosjekt;  
giellarevitaliserenprošeakta	1. språkrevitaliseringsprosjekt;  
huksenprošeakta	1. byggeprosjekt;  
diehtojuohkinprošeakta	1. nyhetsformidlingsprosjekt;  
ovdánahttinprošeakta	1. forbedringsprosjekt;  
nissonprošeakta	1. kvinneprosjekt;  
miššunprošeakta	1. misjsjunprosjekt;  
váldoprošeakta	1. hovedprosjekt;  
ovttasbargoprošeakta	1. samarbeidsprosjekt;  
kulturviessoprošeakta	1. kulturhusprosjekt;  
kulturmuitoprošeakta	1. kulturminneprosjekt;  
oahpponeavvoprošeakta	1. læremiddelprosjekt;  
eamiálbmotprošeakta	1. urbefolkningsprosjekt;  
lakta	1. grensesnitt;  
goahcalakta	1. friksjonskopling;  
stielkalakta	1. laskskjøt;  
gazzalakta	1. klokopling;  
bontelakta	1. falsskjøt;  
gokčanlakta	1. overlappskjøt;  
loakta	1. trivsel;  
seahkkagikta	1. synkestein i sekk;  
relikta	1. relikt;  
konflikta	1. konflikt;  
árvokonflikta	1. verdikonflikt;  
punkta	1. punkt;  
sevdnjeslokta	1. mørkeloft;  
doaibmamokta	1. innsatsvilje;  
bargomokta	1. arbeidslyst;  
sokta	1. krem;  
lákcasokta	1. fløtekrem;  
vanilljasokta	1. vaniljekrem;  
monnesokta	1. eggekrem;  
veahkadukta	1. gjødsel;  
ákta	1. ve;  
dákta	1. stempelslag;  
fákta	1. vakt;  
uksafákta	1. dørvakt;  
artefákta	1. artefakt;  
eksamenfákta	1. eksamensvakt;  
čoahkkinfákta	1. møtevakt;  
dorvofákta	1. sikkerhetsvakt;  
skákta	1. åreskjeft;  
kontrákta	1. kontrakt;  
tákta	1. takt;  
vuojadanvákta	1. badevakt;  
šákta	1. sjakt;  
vealta	1. plog;  
smulta	1. smult;  
asfálta	1. asfalt;  
gummiasfálta	1. gummiasfalt;  
sáttoasfálta	1. sandasfalt;  
luondduasfálta	1. naturasfalt;  
várrepresideanta	1. visepresident;  
mielpresideanta	1. medpresident;  
ivdneelemeanta	1. fargeelement;  
labyrinta	1. labyrint;  
vinta	1. heis;  
tráhppavinta	1. trappeheis;  
breavavinta	1. brevheis;  
fonta	1. skrifttype;  
variánta	1. variant;  
sibilánta	1. sibilant;  
interpellánta	1. interpellant;  
láigopánta	1. depositum;  
nota	1. nota;  
alitreseapta	1. blåresept;  
guođohanbarta	1. gjeterhytte;  
earta	1. ert;  
agoarta	1. akkord;  
identifikašuvdnagoarta	1. identifikasjonskort;  
lohkoagoarta	1. stykkakkord;  
registtargoarta	1. vognkort;  
adreassakoarta	1. adressekort;  
ruhtakoarta	1. utbetalingskort;  
girerenkoarta	1. gireringskort;  
sisamáksinkoarta	1. innbetalingskort;  
steampalastinkoarta	1. stemplingskort;  
báŋkokoarta	1. bankkort;  
vearrokoarta	1. skattekort;  
kontokoarta	1. kontokort;  
čieguskoarta	1. blindkort;  
bierta	1. reinmage fylt med reintalg;  
aborta	1. abort;  
raporta	1. rapport;  
jogurta	1. yoghurt;  
juhkanjogurta	1. drikkeyoghurt;  
gehppesjogurta	1. lettyoghurt;  
šattosjogurta	1. fruktyoghurt;  
ivdnekárta	1. fargekart;  
temákárta	1. temakart;  
stárta	1. start;  
vuogasvuođadeasta	1. hensiktsmessighets hensyn;  
gearggusvuođadeasta	1. beredskapshensyn;  
alkoteasta	1. alkotest;  
bealljelasta	1. det ytre øre;  
lágerlasta	1. laurbærblad;  
bušeahttapoasta	1. budsjettpost;  
bohccepoasta	1. rørpost;  
girdipoasta	1. luftpost;  
hoahppopoasta	1. ekspresspost;  
árvopoasta	1. verdipost;  
fitnodatpoasta	1. firmapost;  
adreassalista	1. adresseliste;  
kontenlista	1. konteringsliste;  
alkoholista	1. alkoholiker;  
jienastuslohkolista	1. manntallsliste;  
solista	1. solist;  
diehtolista	1. dataliste;  
birrajođaldatlista	1. sirkulasjonsliste;  
bálkálista	1. lønningsliste;  
pessimista	1. pessimist;  
satanista	1. satanist;  
terrorista	1. terrorist;  
jurista	1. jurist;  
statista	1. statist;  
subteaksta	1. subtekst;  
láidenteaksta	1. ledetekst;  
konteaksta	1. kontekst;  
almmuhusteaksta	1. annonsetekst;  
komposta	1. kompost;  
borsta	1. børste;  
ruonasborsta	1. grønnsakbørste;  
hivssetborsta	1. toalettbørste;  
gusta	1. børste;  
návsta	1. naust;  
plásta	1. plast;  
allagealddamásta	1. høyspenningsmast;  
kontrásta	1. kontrast;  
alladeatta	1. høgtrykk, høytrykk;  
varradeatta	1. blodtrykk;  
badjeldeatta	1. overtrykk;  
áibmodeatta	1. lufttrykk;  
vuollegisdeatta	1. lavtrykk;  
spageahtta	1. spagetti;  
servieahtta	1. serviett;  
budjeahtta	1. budsjett;  
lassibudjeahtta	1. tilleggsbudsjett;  
sinjeahtta	1. signett;  
pakeahtta	1. pakke;  
rakeahtta	1. rakett;  
etikeahtta	1. etikett;  
bankeahtta	1. bankett;  
blankeahtta	1. blankett;  
diskeahtta	1. diskett;  
čitnatableahtta	1. kulltablett;  
omeleahtta	1. omelett;  
togabileahtta	1. togbillett;  
ruovttoluottabileahtta	1. returbillett;  
sadjebileahtta	1. plassbillett;  
girdibileahtta	1. flybillett;  
eaŋkilbileahtta	1. enkelbillett;  
orustanbileahtta	1. parkeringsbillett;  
billeahtta	1. billett;  
ultravioleahtta	1. ultraviolett;  
šleahtta	1. slett;  
limeahtta	1. lime;  
komeahtta	1. komet;  
neahtta	1. nett;  
skuvlaneahtta	1. skolenett;  
intraneahtta	1. intranett;  
magneahtta	1. magnet;  
kabineahtta	1. kabinett;  
soneahtta	1. sonette;  
tapeahtta	1. tapet;  
reahtta	1. rett;  
sigareahtta	1. sigarett;  
breahtta	1. brett;  
sárgunbreahtta	1. tegnebrett;  
váibmobreahtta	1. hjertebrett;  
botreahtta	1. portrett;  
portreahtta	1. portrett;  
seahtta	1. sett;  
jietnakaseahtta	1. lydkassett;  
videokaseahtta	1. videokassett;  
pinseahtta	1. pinsett;  
kasseahtta	1. kassett;  
validiteahtta	1. validitet;  
realiteahtta	1. realitet;  
našunaliteahtta	1. nasjonalitet;  
seksualiteahtta	1. seksualitet;  
tekstualiteahtta	1. tekstualitet;  
intertekstualiteahtta	1. intertekstualitet;  
kvaliteahtta	1. kvalitet;  
reliabiliteahtta	1. reliabilitet;  
immuniteahtta	1. immunitet;  
kapasiteahtta	1. kapasitet;  
kulturidentiteahtta	1. kulturidentitet;  
relativiteahtta	1. relativitet;  
opportunisteahtta	1. opportunistet;  
silueahtta	1. siluett;  
ašeahtta	1. asjett;  
manšeahtta	1. mansjett;  
bušeahtta	1. budsjett;  
stádabušeahtta	1. statsbudsjett;  
našunálabušeahtta	1. nasjonalbudsjett;  
doaibmabušeahtta	1. hovedbudsjett;  
rámmabušeahtta	1. rammebudsjett;  
konferánsabušeahtta	1. konferansebudsjett;  
stáhtabušeahtta	1. statsbudsjett;  
gearggusvuođabušeahtta	1. beredskapsbudsjett;  
guhkesáiggebušeahtta	1. langtidsbudsjett;  
našunálbušeahtta	1. nasjonalbudsjett;  
jođihanbušeahtta	1. markedsføringsbudsjett;  
huksenbušeahtta	1. byggebudsjett;  
siskkáldasbušeahtta	1. internbudsjett;  
bálkábušeahtta	1. lønnsbudsjett;  
prejudikahtta	1. prejudikat;  
maŋŋeskoahtta	1. akterskott;  
loahtta	1. den nedre krumme del av stavn på elvebåt;  2. krumt forbindelsesstykke mellom stavn og kjøl på sjøbåt;  
maŋŋeloahtta	1. båtdel;  
čáskadanapparahtta	1. brannslukningsapparat;  
kássakredihtta	1. kassakreditt;  
favorihtta	1. favoritt;  
asymptohtta	1. asymptote;  
beallenuohtta	1. halvtone;  
lasseminuhtta	1. tilleggsminutt;  
rabáhtta	1. rabatt;  
gálvorabáhtta	1. vareabatt;  
hivvodatrabáhtta	1. mengderabatt;  
debáhtta	1. debatt;  
dássenmandáhtta	1. likestillingsmandat;  
álgomandáhtta	1. førstemandat;  
dievadasmandáhtta	1. oppfyllingsmandat;  
sulfáhtta	1. sulfat;  
njálfáhtta	1. kvinnehette;  2. kvinnelue;  
gáhkkofáhtta	1. kakefat;  
gáhtta	1. gate;  
industriijagáhtta	1. industrigate;  
geađgegáhtta	1. steinbelagt gate, brolagt gate;  
gávpegáhtta	1. handlegate;  
aggregáhtta	1. aggregat;  
rávdnjeaggregáhtta	1. strømaggregat, elektrisk aggregat;  
čoaskudanaggregáhtta	1. kjøleaggregat;  
bussegáhtta	1. bussgate;  
fuolahangáhtta	1. servicegate;  
čoahkkanangáhtta	1. oppsamlingsgate;  
čađajohtingáhtta	1. gjennomfartsgate;  
vázzingáhtta	1. gågate;  
váldogáhtta	1. hovedgate;  
oasttosgáhtta	1. kjøpsgate;  2. forretningsgate;  
ráhppágáhtta	1. trappeveg;  
oalgaháhtta	1. stråhatt;  
proletariáhtta	1. proletariat;  
plakáhtta	1. plakat;  
sámeguovlluplakáhtta	1. samedistriktslakat;  
prejudkáhtta	1. prejudkat;  
prejudikáhtta	1. prejudikat;  
affrikáhtta	1. affrikat;  
skáhtta	1. skatt;  
láhtta	1. mine;  2. fakte;  
lastasaláhtta	1. plukksalat;  
endivasaláhtta	1. endivsalat;  
oaivesaláhtta	1. hodesalat;  
smierrosaláhtta	1. issalat;  
pláhtta	1. plate;  
vuoššanpláhtta	1. kokeplate;  
ráiggaspláhtta	1. perforert plate;  
vuolahaspláhtta	1. sponplate;  
automáhtta	1. automat;  
bileahttaautomáhtta	1. billettautomat;  
orustanautomáhtta	1. parkeringsautomat;  
vuovdinautomáhtta	1. salgsautomat;  
telefonautomáhtta	1. telefonautomat;  
formáhtta	1. format;  
senáhtta	1. senat;  
ordináhtta	1. ordinat;  
koordináhtta	1. koordinat;  
gemináhtta	1. geminat;  
spináhtta	1. spinat;  
ráhtta	1. ratt;  
preparáhtta	1. preparat;  
apparáhtta	1. apparat;  
kássaapparáhtta	1. kassaapparat;  
váikkuhangaskaoapmeapparáhtta	1. påvirkningsapparat;  
jáddadanapparáhtta	1. brannslokkingsapparat;  
hálddašanapparáhtta	1. administrasjonsapparat;  
sirrenapparáhtta	1. sorteringsapparat;  
gulloapparáhtta	1. høreapparat;  
pulvvarapparáhtta	1. pulverapparat;  
bálvalusapparáhtta	1. tjenesteapparat;  
kvadráhtta	1. kvadrat;  
čitnahydráhtta	1. kullhydrat;  
referáhtta	1. referat;  
jietnabáddereferáhtta	1. lydbåndreferat;  
duopmoreferáhtta	1. domreferat;  
sosiálademokráhtta	1. sosialdemokrat;  
professoráhtta	1. professorat;  
direktoráhtta	1. direktorat;  
aetáhtta	1. aetat;  
hábitáhtta	1. habitat;  
sitáhtta	1. sitat;  
traktáhtta	1. traktat;  
diktáhtta	1. diktat;  
attentáhtta	1. attentat;  
gulaskuddannotáhtta	1. forhøringsnotat;  
kilováhtta	1. kilowatt;  
lávdebeaitta	1. teppe;  
riššobeaitta	1. dusjforheng;  
bargoheaitta	1. streik;  
čáhceluoitta	1. vannkran;  
vitta	1. fiskefinne;  
gaskavitta	1. mellomfinne;  
boahtalčotta	1. kapasitetsbegrensning;  
goaŧŧočotta	1. livmorhals;  
meastta	1. marmelade;  
muorjemeastta	1. syltetøy;  
sarretmeastta	1. blåbærsyltetøy;  
buollineastta	1. brannbegrensning;  
mánáidvaháteastta	1. barnesikring;  
máistta	1. krydder;  
seaguhusmáistta	1. blandingskrydder;  
bostta	1. elveblest;  
oaiveasibostta	1. hodeeksem;  
lavtta	1. kopling;  
njalpalavtta	1. slurekopling;  
buvtta	1. produkt;  
doalvvabuvtta	1. eksportprodukt;  
dáigebuvtta	1. deigprodukt;  
gordnebuvtta	1. kornprodukt;  
vistebuvtta	1. produkt til byggverk;  
meieribuvtta	1. meieriprodukt;  
oahppanbuvtta	1. læringsutbytte;  
algobuvtta	1. vare;  
juolgemátta	1. fotrot;  
bákŋemátta	1. nederste del av hornrot;  
ruhtasátta	1. postanvisning;  
lotnunsátta	1. oppkrav;  
poastalotnunsátta	1. postoppkrav;  
hoahpposátta	1. ekspressending;  
musihkkaterapevta	1. musikkterapeut;  
ergoterapevta	1. ergoterapeut;  
fysioterapevta	1. fysioterapeut;  
birasterapevta	1. miljøterapeut;  
lávgoboršta	1. badebørste;  
riesagušta	1. mopp;  
bava	1. forstoppelse;  
neava	1. anbefaling;  
standárdabreava	1. standardbrev;  
remissabreava	1. remissebrev;  
árvobreava	1. verdibrev;  
jođánisbreava	1. hurtigbrev;  
gáibádusbreava	1. kravbrev;  
vástádusbreava	1. svarbrev;  
arkiiva	1. arkiv;  
journálaarkiiva	1. journalarkiv;  
nammaarkiiva	1. navnearkiv;  
máksinbeaivearkiiva	1. forfallsarkiv;  
áššearkiiva	1. saksarkiv;  
čuovvunarkiiva	1. oppfølgingsarkiv;  
gáiddusarkiiva	1. bortsettingsarkiv;  
áigeortnetarkiiva	1. kronologisk arkiv;  
árkiiva	1. arkiv;  
liiva	1. vest;  
govdunliiva	1. flytevest;  
gádjunliiva	1. redningsvest;  
perspektiiva	1. perspektiv;  
nissonaperspektiiva	1. kvinneperspektiv;  
ovttadássásašvuođaperspektiiva	1. likestillingsnivåperspektiv;  
guhkesáiggeperspektiiva	1. langtidsperspektiv;  
guhkesáiggiperspektiiva	1. langtidsperspektiv;  
sohkabealperspektiiva	1. kjønnsperspektiv;  
ovddidanperspektiiva	1. framskrittsperspektiv;  
nissonperspektiiva	1. kvinneperspektiv;  
váldoperspektiiva	1. hovedperspektiv;  
dásseárvoperspektiiva	1. likestillingsperspektiv;  
birasperspektiiva	1. miljøperspektiv;  
eamiálbmotperspektiiva	1. urfolksperspektiv;  
oppalašperspektiiva	1. fellesperspektiv;  
gealva	1. kjevle;  
goalva	1. båthvelv;  
hárva	1. harv;  
hoavva	1. håv;  
dihtosivva	1. diagnose;  
bitmap-govva	1. bitmap-bilde;  
jurddagovva	1. innbildning;  
ovdagovva	1. ideal;  
giellagovva	1. språkbilde;  
šearbmagovva	1. skjermbilde;  
sátnegovva	1. ordbilde;  
maŋŋegovva	1. etterbilde;  
røntgengovva	1. røntgenbilde;  
olgogovva	1. profil;  
lohkogovva	1. tallmessig bilde;  
luoitogovva	1. kalkyletabell;  
boađusgovva	1. resultatbilde;  
ollislašgovva	1. helhetsbilde;  
iešgovva	1. selvbilde;  
dálveskuovva	1. vinterjogg, vintersko;  
viehkanskuovva	1. joggesko;  
muorraskruvva	1. treskrue;  
gurraskruvva	1. sporskrue;  
borahanskruvva	1. mateskrue;  
jođihanskruvva	1. ledeskrue;  
giddenskruvva	1. festeskrue;  
iešjeŋgenskruvva	1. selvgjengende skrue;  
stellenskruvva	1. justeringsskrue;  
bonjisskruvva	1. snekkeskrue;  
giehtagávva	1. albueleddkrøkning;  
mihttolávva	1. målestokk;  
čáhcešávva	1. oversvømmelse;  
liidnakláva	1. lineklave;  
stivrenráva	1. styringsdirektiv;  
spraya	1. spray;  
fiilogazza	1. filklo;  
reaggágazza	1. dreggklo;  
vuohččecuozza	1. slimhinne;  
badjebáza	1. overskudd;  
jahkebadjebáza	1. årsoverskudd;  
vuollebáza	1. underskudd;  
badjelbáza	1. overskudd;  
kaféa	1. kafe;  
filéa	1. filet;  
alléa	1. allé;  
čielgeađa	1. ryggmarg;  
boađa	1. atkomst;  
garaša	1. garasje;  
teáhterdieđa	1. teatervitenskap;  
servodatdieđa	1. samfunnsvitenskap;  
lákcajiekŋa	1. is;  
gođavikša	1. vefthespe;  
gáhkkočikŋa	1. kakepynt;  
silkebuokča	1. toppdykker;  
čáhppesbuokča	1. horndykker;  
loahppašuokŋa	1. enderim;  
šákša	1. lodde;  
ruovdešákša	1. jernlodde;  
sallitšákša	1. sildlodde;  
plánša	1. plansje;  
čeabetgođa	1. hals;  
morša	1. hvalross;  
báđa	1. farvebelegg;  
sabotáša	1. sabotasje;  
fápmonađđa	1. kraftarm;  
hoašša	1. snelle;  
čađđa	1. karbon;  
svihčča	1. balansefinne;  
geađgerišša	1. steinsprut;  
baloŋŋa	1. ballong;  
tušša	1. tusjpenn;  
govčča	1. dekning;  
šláŋŋa	1. slange;  
jáddadanšláŋŋa	1. brannslange;  
rombe	1. rombe;  
galbmaskábe	1. kjøleskap;  
arkiivaskábe	1. arkivskap;  
duddenskábe	1. avlastningsskap;  
jáldoskábe	1. svalskap;  
šuhkoláde	1. sjokolade;  
rufe	1. avløp;  
bišáhke	1. stingsild;  
sviske	1. sviske;  
beaiveruvke	1. dagbrudd;  
duŋke	1. jekk;  
rele	1. rele;  
biile	1. stang i høystakk;  
belle	1. blikk;  
muddenbelle	1. spjell;  
čavgenspelle	1. spennblikk;  
lássenspelle	1. låseblikk;  
ovdastelle	1. forstilling;  
čeavanolle	1. springflo;  
bulle	1. ukastrert okse;  
doaibmamálle	1. driftsopplegg;  
lihkadanmálle	1. bevegelsesmønster;  
valljudanmálle	1. jigg;  
árvoárvvoštallanmálle	1. verdivurderingsstandard;  
šliipenmálle	1. slipelære;  
rehketdoallomálle	1. regnskapsstandard;  
johtolatmálle	1. trafikkmodell;  
olggošmálle	1. overflatenormal;  
sále	1. sal;  
ovdasáhkasále	1. foredragssal;  
konferánsasále	1. konferansesal;  
bumme	1. vevbom;  
asfáltarenne	1. asfaltkanal;  
gilpe	1. håndtak;  
čáhcebumpe	1. vannpumpe;  
rufebumpe	1. avløpspumpe;  
ivdnádatsodjobiire	1. kulørtonekrets;  
dállobiire	1. gardsvald;  
genre	1. genre;  
ore	1. hingst;  
gore	1. kurv;  
infiltrašuvdnarevre	1. infiltrasjonsrør;  
liigegásarevre	1. eksosrør;  
ruferevre	1. avløpsrør;  
biise	1. grue;  
glukose	1. druesukker;  
minibusse	1. minibuss;  
ovdaláse	1. frontrute;  
biilaláse	1. bilvindu;  
guite	1. kvittering;  
loahppaguite	1. sluttseddel;  
máhcahanguite	1. returseddel;  
vinte	1. spill;  
bonte	1. fals;  
guollegonte	1. fiskekurv;  
skuovvabaste	1. skohorn;  
leasmebaste	1. revmaskje;  
borranbaste	1. spiseskje;  
tratte	1. tratte;  
báhtte	1. spatt;  
leanareive	1. lensbrev;  
rogganreive	1. mutingsbrev;  
logahallanreive	1. registreringsbrev;  
registrerenreive	1. registreringsbrev;  
mihttoreive	1. målebrev;  
suodjalusreive	1. vernebrev;  
veive	1. sveiv;  
golve	1. loddebolt;  
jietnadorve	1. horn;  
bealljedorve	1. hovedtelefon;  
várve	1. dreiebenk;  
biikasoabbi	1. piggstav;  
gargŋilsoabbi	1. albuekrykke;  
gieđavuolsoabbi	1. underarmskrykke;  
vázzinsoabbi	1. stokk;  
dohppaniibi	1. slirekniv;  
breavaniibi	1. brevåpner;  
beavdeniibi	1. bordkniv;  
beasseláibi	1. flatbrød;  
gilvvabealbi	1. bokhvete;  
njalbi	1. væske;  
goahcannjalbi	1. bremsevæske;  
salgadannjalbi	1. frostvæske;  
čoaskudannjalbi	1. kjølevann, kjølevæske;  
rumašnjalbi	1. kroppsvæske;  
boalbi	1. kløne;  2. sted som er vanskelig å passere;  
suodjemeahcci	1. landskapsverneområde;  
áibmodasmeahcci	1. villmark;  
álbmotmeahcci	1. nasjonalpark;  
luonddumeahcci	1. naturreservat;  
lievlabohcci	1. avtrekksrør;  
suovvabohcci	1. skorstein;  
čáhcebohcci	1. vannrør;  
durdečáhcebohcci	1. spillvannsledning;  
suorgebohcci	1. forgreiningsrør;  
suoidnebohcci	1. hult gresstrå;  
pinolbohcci	1. pinolrør;  
čáskadanbohcci	1. brannslange;  
ommanbohcci	1. ovnsrør;  
váldobohcci	1. hovedledning;  
áibmobohcci	1. lufterør;  
bázahasbohcci	1. eksosrør;  
beaivebuohcci	1. dagpasient;  
báktemáhcci	1. fjellfolding;  
oahci	1. avgrensning;  
rátkkaoahci	1. midlertidig arbeidsgjerde;  
čalbmeoahci	1. maskestengsel;  
guođohanoahci	1. mobilt gjerde;  
šilljocihci	1. gråspurv;  
áhci	1. hesje;  
guolleáhci	1. fiskehjell med streng;  
gaskačáhci	1. glassmanet;  
durdečáhci	1. avløpsvann;  
arvečáhci	1. regnvann;  
geavahančáhci	1. bruksvann;  
lahcáčáhci	1. lekkasjevann;  
fierváčáhci	1. fjæresjø;  
bajoščáhci	1. overflatevann;  
culci	1. knott;  2. tapp;  
el-culci	1. støpsel;  
gámaculci	1. støvelknott;  
veiveculci	1. veivtapp;  
áksilculci	1. akseltapp;  
gurrenculci	1. avtappingsplugg;  
bealljebunci	1. ørepropp;  
bananbunci	1. bananplugg;  
láhkaaddi	1. lovgiver;  
birasgáhttenráđđeaddi	1. miljøvernrådgiver;  
obbahaddi	1. bruttopris;  
reaidahaddi	1. kontantpris;  
njuolggahaddi	1. førstehåndspris;  
guollehaddi	1. fiskepris;  
háhkanhaddi	1. anskaffelsespris;  
ođastanhaddi	1. gjenanskaffelsespris;  
vuovdinhaddi	1. salgspris;  
oastinhaddi	1. innkjøpspris;  
biergohaddi	1. kjøttpris;  
gollohaddi	1. kostpris;  
diibmohaddi	1. timepris;  
mannohaddi	1. konsumpris;  
boazohaddi	1. reinpris;  
ávnnashaddi	1. materialpris;  
ovttadathaddi	1. enhetspris;  
dáláhaddi	1. løpende pris;  
bargoaddi	1. arbeidsgiver;  
dialogagieddi	1. dialogboks;  
veahkkedialogagieddi	1. hjelpedialogrute;  
magnehtagieddi	1. magnetfelt;  
teakstagieddi	1. tekstfelt;  
gáddegieddi	1. strandvoll;  
geassesajgieddi	1. seterløkke;  
fiilaválljengieddi	1. filvalgsvindu;  
čállingieddi	1. skrivefelt;  
šilljogieddi	1. plen;  
ruovttugieddi	1. hjemmemark;  
biddi	1. geite;  
suddjenbiddi	1. leggbeskytter;  
ovdagoddi	1. formannskap;  
guovlluovdagoddi	1. distriktsformannskap;  
veahkagoddi	1. felttog;  
doaibmagoddi	1. arbeidsutvalg;  
nammagoddi	1. nemnd;  
presideantagoddi	1. presidentskap;  
sáttagoddi	1. delegasjon;  
luoddalávdegoddi	1. vegutvalg;  
válgalávdegoddi	1. valgkomite;  
láhkalávdegoddi	1. lovkomité;  
redakšuvdnalávdegoddi	1. redaksjonskomité;  
bušeahttalávdegoddi	1. budsjettkomité;  
vuoigatvuođalávdegoddi	1. rettighetsutvalg;  
váhnenráđđelávdegoddi	1. foreldrerådsutvalg;  
šiehtadanlávdegoddi	1. forhandlingskomité;  
lágidanlávdegoddi	1. arrangementkomité;  
fápmudanlávdegoddi	1. fullmaktskomité;  
elliidsuodjalanlávdegoddi	1. dyrevernsnemnda;  
šiehtadallanlávdegoddi	1. forhandlingsutvalg;  
dárkkistanlávdegoddi	1. kontrollkomité;  
áhpenuohtástanlávdegoddi	1. trålerkomitè;  
ráhkkanahttinlávdegoddi	1. forberedende utvalg;  
váldolávdegoddi	1. hovedkomité;  
ovttasbargolávdegoddi	1. samarbeidskomité, samarbeidsutvalg;  
unnitlohkolávdegoddi	1. mindretallskomité;  
bargobiraslávdegoddi	1. arbeidsmiljøutvalg;  
hálddahuslávdegoddi	1. administrasjonsutvalg;  
ealáhuslávdegoddi	1. næringsutvalg;  
